formulary_name,med_name_generic,med_action_dose_unit,volume_given,count
Azacitidine 100 mg/4mL inj (SubQ),azacitidine,Not Recorded,,6
Azathioprine 100 mg inj,azathioprine,Not Recorded,none,25
Azithromycin 100 mg/5 mL susp.,azithromycin,Not Recorded,,1
Azithromycin 250 mg tablet,azithromycin,Not Recorded,none,2
Azithromycin 500 mg inj,azithromycin,Not Recorded,none,598
Azithromycin 500mg/NS 250ml IVPB,Azithromycin in ns,Not Recorded,,49426
Azithromycin 600 mg tab,azithromycin,Not Recorded,,1
Aztreonam 1gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,Not Recorded,,6030
Aztreonam 1gm/50mL NS IVPB,aztreonam in ns,Not Recorded,,6170
Aztreonam 20mg/mL neonate syringe,aztreonam/ns,Not Recorded,none,60
Aztreonam 20mg/mL neonate syringe,aztreonam/ns syringe,Not Recorded,none,1
Aztreonam 2gm/100mL NS IVPB,aztreonam/ns,Not Recorded,,6597
Aztreonam 2gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,Not Recorded,,10189
Aztreonam 75 mg for Inhalation,aztreonam,Not Recorded,none,3
"Bacitracin 50,000 unit inj",bacitracin,Not Recorded,none,89
Baclofen 10 mg tab,baclofen,Not Recorded,,1
"Bag, Empty Sterile (Polyolefin) 2L","bag, empty sterile (polyolefin)",Not Recorded,,55
"Bag, PCA  Infusion",pca -  bag,Not Recorded,none,210
"Bag, Sterile Empty","Bag, Sterile Empty",Not Recorded,none,647
"Bag, Sterile Empty for IVPB","Bag, Sterile Empty",Not Recorded,none,108
"Bag, sterile for invst study","bag, sterile for invst study",Not Recorded,none,2
Basiliximab 20mg inj,basiliximab,Not Recorded,none,2647
Belatacept 250mg inj,belatacept,Not Recorded,none,1990
Bendamustine 100 mg inj,bendamustine,Not Recorded,none,4
Bendamustine 100 mg/4mL inj,bendamustine,Not Recorded,,70
Benzocaine 20% Mouth Gel,benzocaine 20%,Not Recorded,none,1
Benzocaine 20% oral aerosol spray,benzocaine 20%,Not Recorded,none,48
Benzocaine topical 20% spray 0.5mL UD,benzocaine topical,Not Recorded,,1
Benztropine 2 mg/2 mL inj,benztropine,Not Recorded,,115
BetamethPhos/Acetate 6 mg/mL 5 mL inj,betamethasone,Not Recorded,,3
Bevacizumab 100mg/4mL,bevacizumab,Not Recorded,,39
Bevacizumab 400mg inj,bevacizumab,Not Recorded,none,26
Bivalirudin 250mg/NS,bivalirudin in ns,Not Recorded,none,71146
Bleomycin 15 units inj,bleomycin,Not Recorded,none,36
Bleomycin 30 units inj.,bleomycin,Not Recorded,none,2
Blinatumomab 35 mcg inj,blinatumomab,Not Recorded,none,300
Bortezomib 3.5 mg inj (IV),bortezomib,Not Recorded,none,32
Bortezomib 3.5 mg inj (SubQ),bortezomib in syringe,Not Recorded,none,2
Brand necessary-Ciprofloxacin 400mg/200mL D5W premix ivpb,ciprofloxacin in D5W,Not Recorded,,4125
Brentuximab vedotin 50 mg inj,brentuximab vedotin,Not Recorded,none,10
Bumetanide 0.25 mg/mL 10 mL inj,bumetanide,Milligram/Hour,,50371
Bumetanide 1 mg/4 mL inj,bumetanide,Not Recorded,,11559
Bupivacaine  0.25% w/Epi  30 mL,bupivacaine 0.25% w/epi,Not Recorded,,37
Bupivacaine  0.25% w/Epi  PF 30 mL,bupivacaine 0.25% w/epi,Not Recorded,,2
Bupivacaine  0.5% w/Epi 10 mL inj,bupivacaine 0.5% w/epi,Not Recorded,,10
Bupivacaine 0.25% 30 mL inj,bupivacaine 0.25%,Not Recorded,,19
Bupivacaine 0.25% pf  10mL inj,bupivacaine 0.25% pf,Not Recorded,,13
Bupivacaine 0.25% pf 30mL inj,bupivacaine 0.25% pf,Not Recorded,,5
Bupivacaine 0.5% 10 mL inj,bupivacaine 0.5%,Not Recorded,,152
Bupivacaine 0.5% pf 10 mL inj,bupivacaine 0.5%,Not Recorded,,43
Bupivacaine 0.5% pf 30 mL inj,bupivacaine 0.5%,Not Recorded,,2909
Bupivacaine 0.5% pf inj 10mL,bupivacaine 0.5% pf,Not Recorded,,4
Bupivacaine 0.75% 10 mL inj pf,bupivacaine 0.75%,Not Recorded,,4
Bupivacaine Spinal 0.75% 2 mL inj,bupivacaine 0.75%,Not Recorded,,10
Bupivacaine liposome 1.3% (13.3 mg/mL) inj. 20mL,bupivacaine liposome,Not Recorded,,7
Buprenorphone 0.3 mg/ 1 mL inj,buprenorphine,Not Recorded,,11
