formulary_name,med_name_generic,med_action_dose_unit
Atropine Sulfate 1 mg/10 mL inj,atropine sulfate,1924
Avibactam-CefTAZidime 2.5 gm inj,avibactam-cefTAZidime,6161
Azacitidine 100 mg/10mL inj (IV),azacitidine,452
Azacitidine 100 mg/4mL inj (SubQ),azacitidine,6
Azathioprine 100 mg inj,azathioprine,25
Azithromycin 100 mg/5 mL susp.,azithromycin,1
Azithromycin 250 mg tablet,azithromycin,2
Azithromycin 500 mg inj,azithromycin,598
Azithromycin 500mg/NS 250ml IVPB,Azithromycin in ns,49426
Azithromycin 600 mg tab,azithromycin,1
Aztreonam 1gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,6030
Aztreonam 1gm/50mL NS IVPB,aztreonam in ns,6170
Aztreonam 20mg/mL neonate syringe,aztreonam/ns,60
Aztreonam 20mg/mL neonate syringe,aztreonam/ns syringe,1
Aztreonam 2gm/100mL NS IVPB,aztreonam/ns,6597
Aztreonam 2gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,10189
Aztreonam 75 mg for Inhalation,aztreonam,3
"Bacitracin 50,000 unit inj",bacitracin,89
Baclofen 10 mg tab,baclofen,1
"Bag, Empty Sterile (Polyolefin) 2L","bag, empty sterile (polyolefin)",55
"Bag, PCA  Infusion",pca -  bag,210
"Bag, Sterile Empty","Bag, Sterile Empty",647
"Bag, Sterile Empty for IVPB","Bag, Sterile Empty",108
"Bag, sterile for invst study","bag, sterile for invst study",2
Basiliximab 20mg inj,basiliximab,2647
Belatacept 250mg inj,belatacept,1990
Bendamustine 100 mg inj,bendamustine,4
Bendamustine 100 mg/4mL inj,bendamustine,70
Benzocaine 20% Mouth Gel,benzocaine 20%,1
Benzocaine 20% oral aerosol spray,benzocaine 20%,48
Benzocaine topical 20% spray 0.5mL UD,benzocaine topical,1
Benztropine 2 mg/2 mL inj,benztropine,115
BetamethPhos/Acetate 6 mg/mL 5 mL inj,betamethasone,3
Bevacizumab 100mg/4mL,bevacizumab,39
Bevacizumab 400mg inj,bevacizumab,26
