formulary_name,med_name_generic,med_action_dose_unit
Atropine 0.5mg/5mL inj,atropine,Not Recorded
Atropine 1 mg/1 mL inj,atropine,Not Recorded
Atropine Sulfate 0.4 mg/ 1mL inj,atropine,Not Recorded
Atropine Sulfate 1 mg/10 mL inj,atropine sulfate,Not Recorded
Avibactam-CefTAZidime 2.5 gm inj,avibactam-cefTAZidime,Not Recorded
Azacitidine 100 mg/10mL inj (IV),azacitidine,Not Recorded
Azacitidine 100 mg/4mL inj (SubQ),azacitidine,Not Recorded
Azathioprine 100 mg inj,azathioprine,Not Recorded
Azithromycin 100 mg/5 mL susp.,azithromycin,Not Recorded
Azithromycin 250 mg tablet,azithromycin,Not Recorded
Azithromycin 500 mg inj,azithromycin,Not Recorded
Azithromycin 500mg/NS 250ml IVPB,Azithromycin in ns,Not Recorded
Azithromycin 600 mg tab,azithromycin,Not Recorded
Aztreonam 1gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,Not Recorded
Aztreonam 1gm/50mL NS IVPB,aztreonam in ns,Not Recorded
Aztreonam 20mg/mL neonate syringe,aztreonam/ns,Not Recorded
Aztreonam 20mg/mL neonate syringe,aztreonam/ns syringe,Not Recorded
Aztreonam 2gm/100mL NS IVPB,aztreonam/ns,Not Recorded
Aztreonam 2gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,Not Recorded
Aztreonam 75 mg for Inhalation,aztreonam,Not Recorded
"Bacitracin 50,000 unit inj",bacitracin,Not Recorded
Baclofen 10 mg tab,baclofen,Not Recorded
"Bag, Empty Sterile (Polyolefin) 2L","bag, empty sterile (polyolefin)",Not Recorded
"Bag, PCA  Infusion",pca -  bag,Not Recorded
"Bag, Sterile Empty","Bag, Sterile Empty",Not Recorded
"Bag, Sterile Empty for IVPB","Bag, Sterile Empty",Not Recorded
"Bag, sterile for invst study","bag, sterile for invst study",Not Recorded
Basiliximab 20mg inj,basiliximab,Not Recorded
Belatacept 250mg inj,belatacept,Not Recorded
Bendamustine 100 mg inj,bendamustine,Not Recorded
Bendamustine 100 mg/4mL inj,bendamustine,Not Recorded
Benzocaine 20% Mouth Gel,benzocaine 20%,Not Recorded
Benzocaine 20% oral aerosol spray,benzocaine 20%,Not Recorded
Benzocaine topical 20% spray 0.5mL UD,benzocaine topical,Not Recorded
Benztropine 2 mg/2 mL inj,benztropine,Not Recorded
BetamethPhos/Acetate 6 mg/mL 5 mL inj,betamethasone,Not Recorded
Bevacizumab 100mg/4mL,bevacizumab,Not Recorded
Bevacizumab 400mg inj,bevacizumab,Not Recorded
Bivalirudin 250mg/NS,bivalirudin in ns,Not Recorded
Bleomycin 15 units inj,bleomycin,Not Recorded
Bleomycin 30 units inj.,bleomycin,Not Recorded
Blinatumomab 35 mcg inj,blinatumomab,Not Recorded
Bortezomib 3.5 mg inj (IV),bortezomib,Not Recorded
Bortezomib 3.5 mg inj (SubQ),bortezomib in syringe,Not Recorded
Brand necessary-Ciprofloxacin 400mg/200mL D5W premix ivpb,ciprofloxacin in D5W,Not Recorded
Brentuximab vedotin 50 mg inj,brentuximab vedotin,Not Recorded
Bumetanide 0.25 mg/mL 10 mL inj,bumetanide,Milligram/Hour
Bumetanide 1 mg/4 mL inj,bumetanide,Not Recorded
Bupivacaine  0.25% w/Epi  30 mL,bupivacaine 0.25% w/epi,Not Recorded
Bupivacaine  0.25% w/Epi  PF 30 mL,bupivacaine 0.25% w/epi,Not Recorded
Bupivacaine  0.5% w/Epi 10 mL inj,bupivacaine 0.5% w/epi,Not Recorded
Bupivacaine 0.25% 30 mL inj,bupivacaine 0.25%,Not Recorded
Bupivacaine 0.25% pf  10mL inj,bupivacaine 0.25% pf,Not Recorded
Bupivacaine 0.25% pf 30mL inj,bupivacaine 0.25% pf,Not Recorded
Bupivacaine 0.5% 10 mL inj,bupivacaine 0.5%,Not Recorded
Bupivacaine 0.5% pf 10 mL inj,bupivacaine 0.5%,Not Recorded
Bupivacaine 0.5% pf 30 mL inj,bupivacaine 0.5%,Not Recorded
Bupivacaine 0.5% pf inj 10mL,bupivacaine 0.5% pf,Not Recorded
Bupivacaine 0.75% 10 mL inj pf,bupivacaine 0.75%,Not Recorded
Bupivacaine Spinal 0.75% 2 mL inj,bupivacaine 0.75%,Not Recorded
Bupivacaine liposome 1.3% (13.3 mg/mL) inj. 20mL,bupivacaine liposome,Not Recorded
Buprenorphone 0.3 mg/ 1 mL inj,buprenorphine,Not Recorded
Busulfan 6mg/mL 10 mL inj,busulfan,Not Recorded
Butorphanol 2 mg/mL inj,butorphanol,Not Recorded
Butorphanol 4 mg/2 mL inj,butorphanol,Not Recorded
C1 Esterase Inhibitor 500 units inj (Berinert),C1 esterase inhibitor,Not Recorded
C1 Esterase Inhibitor 500 units inj (Berinert) (pt. Own Med),C1 esterase inhibitor,Not Recorded
"C1 esterase inhibitor, human 500 units (Cinryze)","C1 esterase inhibitor, human",Not Recorded
CARBOplatin 10 mg/mL inj,CARBOplatin,Not Recorded
CARBOplatin 150mg inj,CARBOplatin,Not Recorded
CISplatin 100 mg/100mL inj,CISplatin,Not Recorded
CISplatin 200  mg/200  mL inj,CISplatin,Not Recorded
"CMPD fentanyl  2,500 mcg vial",fentanyl citrate,Not Recorded
CaRVEDILOL 12.5 mg tab,CaRVEDILOL,Not Recorded
CaRVEDILOL 25 mg tab,CaRVEDILOL,Not Recorded
Caffeine Citrate 20mg/mL neonate syringe,caffeine citrate syringe,Not Recorded
Caffeine Citrate 60mg/3ml inj,caffeine citrate,Not Recorded
Caffeine-Sod Benz 500 mg/2 mL inj,caffeine-sodium benzoate,Not Recorded
Calcitonin 400 IU/2 mL inj,calcitonin,Not Recorded
Calcitriol 1 mcg/1 mL inj,calcitriol,Not Recorded
Calcium Chloride  1gm/10 mL inj vial,calcium chloride,Not Recorded
Calcium Chloride  1gm/10 mL syringe,calcium chloride,Not Recorded
Calcium Chloride (45x) 6.3gm granules,calcium chloride,Not Recorded
Calcium Glubionate 1.8 gm/5 ml liq 15 mL,calcium glubionate,Not Recorded
Calcium Gluconate 1 gm/10 mL inj,calcium gluconate,Not Recorded
Calcium Gluconate 1 gm/10 mL inj ADD,calcium gluconate,Grams/Hour
Calcium chloride 5.1gm granules,calcium chloride,Not Recorded
Calcium gluconate 50mg/mL/NS neonate syringe,calcium gluconate in NS syringe,Not Recorded
Carbidopa-Levodopa 25/100 CR tab,carbidopa-levodopa cr 25/100,Not Recorded
Carbidopa-Levodopa 25/100 tab,carbidopa-levodopa 25/100,Not Recorded
Carbidopa/Entacapone/Levodopa 37.5 mg-200 mg-150 mg tabl,carbidopa/entacapone/levodopa 37.5/200/150,Not Recorded
Carboprost Trm 250 mcg/ 1 mL,carboprost,Not Recorded
Carfilzomib 60 mg inj,carfilzomib,Not Recorded
Carmustine 100 mg inj,carmustine,Not Recorded
CeFAZOLIN 2 g/50 mL,ceFAZolin in iso-dex,Not Recorded
CeFAZOLIN 2 g/50 mL,ceFAZolin ivpb,Not Recorded
CeFAZolin 500mg (10gm vial),ceFAZolin,Not Recorded
CeTUXimab 2 mg/mL 50 mL inj,ceTUXimab,Not Recorded
CefEPIME 1 gm/D5W 50mL IVPB,cefepime in D5W,Not Recorded
CefEPIME 1 gm/ns 100ml,cefEPIME in NS,Not Recorded
CefEPIME 20mg/mL neonate syringe,cefEPIME in syringe,Not Recorded
CefEPIME 2gm/D5W 50mL IVPB,cefEPIME in d5W,Not Recorded
CefTAZIDime 1gm IVPB,cefTAZIDime in ns,Not Recorded
CefTAZIDime 1gm/50 mL IVPB,cefTAZIDime IVPB,Not Recorded
CefTAZIDime 1gm/50 mL IVPB,cefTAZIDime ivpb,Not Recorded
CefTAZIDime 1gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,Not Recorded
CefTAZIDime 2gm/100 mL IVPB,cefTAZIDime in ns,Not Recorded
CefTAZIDime 2gm/100 mL IVPB,cefTAZIDime ivpb,Not Recorded
CefTAZIDime 2gm/50 mL IVPB,cefTAZIDime ivpb,Not Recorded
CefTAZIDime 2gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,Not Recorded
CefTAZIDime 2gm/NS IVPB,cefTAZIDime in ns,Not Recorded
CefTAZIDime 40mg/mL NS neonate syringe,cefTAZIDime in NS syringe,Not Recorded
CefTAZIDime 40mg/mL NS neonate syringe,cefTAZidime in NS syringe,Not Recorded
CefTAZidime 2.25mg/0.1mL for Intravitreal inj.,cefTAZidime intravitreal,Not Recorded
CefaZOLIN 1gm/50 mL Iso-Dex,cefaZOLIN in iso-dex,Not Recorded
CefaZOLIN 20mg/mL/NS neonate syringe,cefaZOLIN in NS syringe,Not Recorded
Cefazolin 2 gm/NS IVPB,cefazolin in ns,Not Recorded
