"icd10cm","icd9cm","flags","approximate","no_map","combination","scenario","choice_list"
"009T40Z","0309","10000",1,0,0,0,0
"009T4ZX","0332","10000",1,0,0,0,0
"009T4ZZ","0309","10000",1,0,0,0,0
"009U00Z","0309","10000",1,0,0,0,0
"009U0ZX","0332","10000",1,0,0,0,0
"009U0ZZ","0309","10000",1,0,0,0,0
"009U30Z","0331","10000",1,0,0,0,0
"009U3ZX","0332","10000",1,0,0,0,0
"009U3ZZ","0331","10000",1,0,0,0,0
"009U40Z","0331","10000",1,0,0,0,0
"009U4ZX","0332","10000",1,0,0,0,0
"009U4ZZ","0331","10000",1,0,0,0,0
"009W00Z","0309","10000",1,0,0,0,0
"009W0ZX","0332","10000",1,0,0,0,0
"009W0ZZ","0309","10000",1,0,0,0,0
"009W30Z","0309","10000",1,0,0,0,0
"009W3ZX","0332","10000",1,0,0,0,0
"009W3ZZ","0309","10000",1,0,0,0,0
"009W40Z","0309","10000",1,0,0,0,0
"009W4ZX","0332","10000",1,0,0,0,0
"009W4ZZ","0309","10000",1,0,0,0,0
"009X00Z","0309","10000",1,0,0,0,0
"009X0ZX","0332","10000",1,0,0,0,0
"009X0ZZ","0309","10000",1,0,0,0,0
"009X30Z","0309","10000",1,0,0,0,0
"009X3ZX","0332","10000",1,0,0,0,0
"009X3ZZ","0309","10000",1,0,0,0,0
"009X40Z","0309","10000",1,0,0,0,0
"009X4ZX","0332","10000",1,0,0,0,0
"009X4ZZ","0309","10000",1,0,0,0,0
"009Y00Z","0309","10000",1,0,0,0,0
"009Y0ZX","0332","10000",1,0,0,0,0
"009Y0ZZ","0309","10000",1,0,0,0,0
"009Y30Z","0309","10000",1,0,0,0,0
"009Y3ZX","0332","10000",1,0,0,0,0
"009Y3ZZ","0309","10000",1,0,0,0,0
"009Y40Z","0309","10000",1,0,0,0,0
"009Y4ZX","0332","10000",1,0,0,0,0
"009Y4ZZ","0309","10000",1,0,0,0,0
"00B00ZX","0114","10000",1,0,0,0,0
"00B00ZZ","0159","10000",1,0,0,0,0
"00B03ZX","0113","10000",1,0,0,0,0
"00B03ZZ","0159","10000",1,0,0,0,0
"00B04ZX","0113","10000",1,0,0,0,0
"00B04ZZ","0159","10000",1,0,0,0,0
"00B10ZX","0112","10000",1,0,0,0,0
"00B10ZZ","0151","10000",1,0,0,0,0
"00B13ZX","0111","10000",1,0,0,0,0
"00B13ZZ","0151","10000",1,0,0,0,0
"00B14ZX","0111","10000",1,0,0,0,0
"00B14ZZ","0151","10000",1,0,0,0,0
"00B20ZX","0112","10000",1,0,0,0,0
"00B20ZZ","0151","10000",1,0,0,0,0
"00B23ZX","0111","10000",1,0,0,0,0
"00B23ZZ","0151","10000",1,0,0,0,0
"00B24ZX","0111","10000",1,0,0,0,0
"00B24ZZ","0151","10000",1,0,0,0,0
"00B60ZX","0114","10000",1,0,0,0,0
"00B60ZZ","0159","10000",1,0,0,0,0
"00B63ZX","0113","10000",1,0,0,0,0
"00B63ZZ","0159","10000",1,0,0,0,0
"00B64ZX","0113","10000",1,0,0,0,0
"00B64ZZ","0159","10000",1,0,0,0,0
"00B70ZX","0114","10000",1,0,0,0,0
"00B70ZZ","0153","10000",1,0,0,0,0
"00B70ZZ","0159","10000",1,0,0,0,0
"00B73ZX","0113","10000",1,0,0,0,0
"00B73ZZ","0153","10000",1,0,0,0,0
"00B73ZZ","0159","10000",1,0,0,0,0
"00B74ZX","0113","10000",1,0,0,0,0
"00B74ZZ","0159","10000",1,0,0,0,0
"00B74ZZ","0153","10000",1,0,0,0,0
"00B80ZX","0114","10000",1,0,0,0,0
"00B80ZZ","0142","10000",1,0,0,0,0
"00B83ZX","0113","10000",1,0,0,0,0
"00B83ZZ","0142","10000",1,0,0,0,0
"00B84ZX","0113","10000",1,0,0,0,0
"00B84ZZ","0142","10000",1,0,0,0,0
"00B90ZX","0114","10000",1,0,0,0,0
"00B90ZZ","0141","10000",1,0,0,0,0
"00B93ZX","0113","10000",1,0,0,0,0
"00B93ZZ","0141","10000",1,0,0,0,0
"00B94ZX","0113","10000",1,0,0,0,0
"00B94ZZ","0141","10000",1,0,0,0,0
"00BA0ZX","0114","10000",1,0,0,0,0
"00BA0ZZ","0141","10000",1,0,0,0,0
"00BA3ZX","0113","10000",1,0,0,0,0
"00BA3ZZ","0141","10000",1,0,0,0,0
"00BA4ZX","0113","10000",1,0,0,0,0
"00BA4ZZ","0141","10000",1,0,0,0,0
"00BB0ZX","0114","10000",1,0,0,0,0
"00BB0ZZ","0159","10000",1,0,0,0,0
"00BB3ZX","0113","10000",1,0,0,0,0
"00BB3ZZ","0159","10000",1,0,0,0,0
"00BB4ZX","0113","10000",1,0,0,0,0
"00BB4ZZ","0159","10000",1,0,0,0,0
"00BC0ZX","0114","10000",1,0,0,0,0
"00BC0ZZ","0159","10000",1,0,0,0,0
"00BC3ZX","0113","10000",1,0,0,0,0
"00BC3ZZ","0159","10000",1,0,0,0,0
