Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
846,Dextrose 10% with 0.2% NaCl intravenous solution,True,Hypotonic Crystalloid,,not_reviewed
848,palonosetron,False,Medication,,not_reviewed
849,PEMEtrexed,False,Medication,,antineoplastics
850,gemcitabine,False,Medication,,antineoplastics
864,Standard UAC Line IV fluid,True,IV Line Fluid,,
869,"Premix Water, Sterile",True,Premix,,
875,prothrombin complex concentrate,False,Medication,,anticoagulants
876,blinatumomab,False,Medication,,antineoplastics
877,IV Stabilizer Solution inj,True,IV Line Fluid,,
880,hydroxocobalamin,False,Medication,,not_reviewed
896,aminophylline,False,Medication,,not_reviewed
899,"lymphocyte immune globulin, anti-thy (equine)",False,Medication,,not_reviewed
908,dofetilide,False,Medication,antiarrhythmics,other
909,treprostinil,False,Medication,diuretic,other
913,sildenafil,False,Medication,bp_lowering,other
918,dantrolene,False,Medication,,not_reviewed
922,hepatitis B immune globulin,False,Medication,,not_reviewed
930,amphotericin B,False,Medication,anti-infective,antifungals
932,vinBLAStine,False,Medication,,antineoplastics
944,DAUNOrubicin,False,Medication,,antineoplastics
945,dacarbazine,False,Medication,,antineoplastics
956,benztropine,False,Medication,,not_reviewed
964,streptomycin,False,Medication,anti-infective,aminoglycosides
965,methohexital,False,Medication,,not_reviewed
967,citric acid-sodium citrate,True,Electrolyte Solution (Other),,not_reviewed
968,bortezomib,False,Medication,,antineoplastics
971,pyridostigmine,False,Medication,,not_reviewed
973,Insulin/PBO for Shine Study,False,Medication,,
975,tetanus-diphth toxoids (Td) adult/adol,False,Medication,,not_reviewed
977,perflutren,False,Medication,,not_reviewed
983,papaverine,False,Medication,,other
986,sodium benzoate-sodium phenylacetate,False,Medication,,not_reviewed
992,streptozocin,False,Medication,,antineoplastics
997,aspirin,False,Medication,,analgesics
999,ticagrelor,False,Medication,,not_reviewed
1000,pregabalin,False,Medication,,not_reviewed
1003,trimethobenzamide,False,Medication,,not_reviewed
1004,insulin glargine,False,Medication,,not_reviewed
1008,bleomycin,False,Medication,,antineoplastics
1009,Vancomycin Trough Reminder,False,Medication,,
1010,quinidine,False,Medication,antiarrhythmics,other
1012,cidofovir,False,Medication,anti-infective,antiviral
1015,RHo (D) immune globulin,False,Medication,,not_reviewed
1018,digoxin immune FAB,False,Medication,,not_reviewed
1019,selenium,False,Medication,,not_reviewed
1025,ziprasidone,False,Medication,,not_reviewed
1037,traMADol,False,Medication,,opiods
1045,Standard UVC Line IV fluid,True,IV Line Fluid,,
1052,Al hydroxide/ASA/Ca carbonate/Mg hydroxide,False,Medication,,not_reviewed
1054,methylergonovine,False,Medication,,not_reviewed
1057,lidocaine topical,False,Medication,,other
1058,celecoxib,False,Medication,,not_reviewed
1060,Flolan Cassette,False,Medication,,
1065,cladribine,False,Medication,,antineoplastics
1077,cocaine topical,False,Medication,,other
1080,ticarcillin-clavulanate,False,Medication,anti-infective,penicillins
1082,benzocaine topical,False,Medication,,other
1084,PACLitaxel protein-bound,False,Medication,,antineoplastics
1088,isosulfan blue,False,Medication,,not_reviewed
1089,mepivacaine,False,Medication,,not_reviewed
1096,insulin isophane (NPH),False,Medication,,not_reviewed
1105,hydromor/ketamine bolus from current pca,False,Medication,,
1115,bupivacaine liposome,False,Medication,,not_reviewed
1116,pertuzumab,False,Medication,,antineoplastics
1117,trastuzumab,False,Medication,,antineoplastics
1121,fibrinogen,False,Medication,,anticoagulants
1122,conivaptan,False,Medication,,other
1126,pegaspargase,False,Medication,,antineoplastics
1138,ramucirumab,False,Medication,,antineoplastics
1142,morphine bolus from current pca,False,Medication,,
1146,epinephrine-lidocaine,False,Medication,,not_reviewed
1163,eribulin,False,Medication,,antineoplastics
1166,pentostatin,False,Medication,,antineoplastics
1176,panitumumab,False,Medication,,antineoplastics
1183,calcium glubionate,True,Electrolyte Solution (Calcium),,not_reviewed
1188,ALPRAZolam,False,Medication,hypnotics,
1190,bendamustine,False,Medication,,antineoplastics
1200,sirolimus,False,Medication,,antineoplastics
1218,deferoxamine,False,Medication,,not_reviewed
1224,dicyclomine,False,Medication,,not_reviewed
1240,cetuximab,False,Medication,,antineoplastics
1241,Al hydroxide/Mg hydroxide/simethicone,False,Medication,,not_reviewed
1247,zinc sulfate,False,Medication,,not_reviewed
1249,fentanyl bolus from current pca,False,Medication,,
1261,calcium carbonate,False,Medication,,not_reviewed
1262,edrophonium,False,Medication,,not_reviewed
1263,caffeine-sodium benzoate,False,Medication,,not_reviewed
1266,Hexaminolevulinate 100mg kit inj,False,Medication,,antineoplastics
1271,alprostadil,False,Medication,bp_lowering,other
1658,cloNIDine,False,Medication,bp_lowering,other
1680,sugammadex,False,Medication,,not_reviewed
1828,ethanol,False,Medication,,not_reviewed
1829,trabectedin,False,Medication,,antineoplastics
1873,"dextran, high molecular weight",False,Medication,,not_reviewed
1909,clofarabine,False,Medication,,antineoplastics
2030,tbo-filgrastim,False,Medication,,other
2034,"dextran, low molecular weight",False,Medication,,not_reviewed
2079,palifermin,False,Medication,,antineoplastics
2116,thiotepa,False,Medication,,antineoplastics
2123,peramivir,False,Medication,anti-infective,antiviral
2131,buprenorphine,False,Medication,,not_reviewed
2133,indomethacin,False,Medication,,not_reviewed
2163,idaruCIZUmab,False,Medication,,anticoagulants
2168,polymyxin B sulfate,False,Medication,,other
2169,bacitracin,False,Medication,,other
2202,sargramostim,False,Medication,,other
2212,phenol topical,False,Medication,,other
2237,ANES Bupivicaine 0.15%/NS 250 mL Epidural,False,Medication,,
2247,antivenin (Crotalidae) polyvalent,False,Medication,,other
2257,Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,False,Medication,,
2266,iohexol,False,Medication,,not_reviewed
2267,Neonate Starter Hyperal,True,Parenteral Nutrition,,
2277,Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,False,Medication,,
2286,insulin pump patient - regular,False,Medication,,
2299,clopidogrel,False,Medication,,anticoagulants
2317,OLANZapine,False,Medication,,not_reviewed
2330,azaTHIOprine,False,Medication,,not_reviewed
2335,dexrazoxane,False,Medication,,not_reviewed
2337,filgrastim,False,Medication,,other
2340,sodium tetradecyl sulfate,False,Medication,,other
2365,ado-trastuzumab emtansine,False,Medication,,antineoplastics
2382,ropivacaine,False,Medication,,not_reviewed
2391,iodixanol,False,Medication,,not_reviewed
2407,amifostine,False,Medication,,antineoplastics
2411,Amino Acid 3% UAC Line Fluid,False,Medication,,
2437,"influenza virus vaccine, inactivated",False,Medication,,not_reviewed
2439,eculizumab,False,Medication,,antineoplastics
2448,loratadine,False,Medication,,not_reviewed
2453,"bag, sterile",False,Medication,,
2461,nelarabine,False,Medication,,antineoplastics
2466,thrombin topical,False,Medication,,anticoagulants
2469,topotecan,False,Medication,,antineoplastics
2474,magnesium citrate,True,Electrolyte Solution (Other),,not_reviewed
2478,copper sulfate,False,Medication,,not_reviewed
2534,hydrOXYzine,False,Medication,,not_reviewed
2554,Anticoagulant Citrate Soln,False,Medication,,not_reviewed
2557,calcitonin,False,Medication,,not_reviewed
2558,topiramate,False,Medication,,not_reviewed
2566,"C1 esterase inhibitor, human",False,Medication,,anticoagulants
2580,NS Continuous Bladder Irrigation 3000mL,True,IV Line Fluid,,not_reviewed
2584,secretin,False,Medication,,other
2594,sodium citrate,True,Electrolyte Solution (Other),,not_reviewed
2596,carboprost,False,Medication,,not_reviewed
2602,SUMAtriptan,False,Medication,,not_reviewed
3295,insulin lispro,False,Medication,,not_reviewed
3344,Amino Acids 15% (Clinisol Sulfite-Free),True,Parenteral Nutrition,,not_reviewed
3359,parenteral nutrition solution,True,Parenteral Nutrition,,not_reviewed
3372,abatacept,False,Medication,,not_reviewed
3384,divalproex sodium,False,Medication,,not_reviewed
3408,hemin,False,Medication,,not_reviewed
3445,fentanyl-ropivacaine,False,Medication,,not_reviewed
3479,intravenous electrolyte solution,True,Electrolyte Solution,,not_reviewed
3502,dalbavancin,False,Medication,anti-infective,glycopeptide
3529,cytarabine liposomal-daunorubicin liposomal,False,Medication,,antineoplastics
3536,corticorelin,False,Medication,,not_reviewed
3553,protein C,False,Medication,,anticoagulants
3559,glucose,False,Medication,,not_reviewed
3587,"bottle, sterile",False,Medication,,
3681,pneumococcal 23-polyvalent vaccine,False,Medication,,not_reviewed
3698,prismasate dialysate,True,Dialysis Solution,,not_reviewed
3757,chloramphenicol,False,Medication,anti-infective,other
3764,Methylnaltrexone 12mg inj.,False,Medication,,not_reviewed
3778,Vancomycin Intermittent Dosing by Pharmacist,False,Medication,anti-infective,glycopeptide
3779,Nafcillin 2gm Desensitization Rx Protocol- initiate,False,Medication,anti-infective,penicillins
3781,levalbuterol,False,Medication,,not_reviewed
3815,procaine penicillin,False,Medication,anti-infective,penicillins
3816,alfentanil,False,Medication,,not_reviewed
3827,hyaluronidase,False,Medication,,not_reviewed
3861,methyldopa,False,Medication,bp_lowering,other
3888,PCA IV Syringe,True,IV Line Fluid,,
3892,penicillin G benzathine,False,Medication,anti-infective,penicillins
3922,insulin detemir,False,Medication,,not_reviewed
3941,Epoprostenol CADD Conc-Dose-Rate Confirm,False,Medication,,
4318,Angiotensin II,False,Medication,bp_lowering,other
4386,PCA Reservoir & Syringe Volume Confirm,False,Medication,,
4644,sodium thiosulfate,False,Medication,,not_reviewed
4723,trace elements with selenium,False,Medication,,not_reviewed
4828,meropenem-vaborbactam,False,Medication,anti-infective,carbapenems
4838,mitoMYcin,False,Medication,,antineoplastics
4881,Meropenem 2gm Desensitization Rx Protocol- initiate,False,Medication,anti-infective,carbapenems
4898,Prismasate BK4/0 w/o Calcium,True,Dialysis Solution,,not_reviewed
4964,gemtuzumab ozogamicin,False,Medication,,antineoplastics
4988,epoprostenol diluent,False,Medication,,other
5021,tocilizumab,False,Medication,,not_reviewed
5051,liothyronine,False,Medication,,not_reviewed
5130,predniSONE,False,Medication,,not_reviewed
5177,Fentanyl Patch Removal,False,Medication,,
5187,ustekinumab,False,Medication,,not_reviewed
5213,Dianeal PD-2 with 1.5% Dextrose,True,Dialysis Solution,,not_reviewed
5217,insulin pump patient - lispro,False,Medication,,
5234,carbidopa-levodopa,False,Medication,,not_reviewed
5776,Amino Acid Injection 50gm/1000ml,True,Parenteral Nutrition,,not_reviewed
5939,eravacycline,False,Medication,anti-infective,tetracyclines
5949,imdevimab,False,Medication,,
6062,Dianeal Low Calcium with 1.5% Dextrose,True,Dialysis Solution,,not_reviewed
6077,defibrotide,False,Medication,,anticoagulants
6136,ravulizumab-cwvz 300 mg/30mL inj,False,Medication,,not_reviewed
6204,coagulation factor Xa,False,Medication,,anticoagulants
6231,Hyperalimentation for charging,True,Parenteral Nutrition,,
6234,Tagraxofusp-erzs 1000 mcg / 10 mL inj,False,Medication,,antineoplastics
6258,Epidural Infusion,False,Medication,,not_reviewed
