med_name,med_class,med_subclass
Hyperalimentation for charging,,
Tagraxofusp-erzs 1000 mcg / 10 mL inj,,antineoplastics
Epidural Infusion,,not_reviewed
Cefepime 2gm Desensitization Rx Protocol- initiate,anti-infective,cephalosporins
sincalide,,not_reviewed
casirivimab,,
inotuzumab ozogamicin,,antineoplastics
Dextrose 30% in Water,,not_reviewed
Potassium Level Recheck Reminder,,
estradiol,,not_reviewed
triamcinolone,,not_reviewed
PrismaSol B22GK4/0 w/o Calcium,,not_reviewed
remdesivir.,anti-infective,antiviral
remdesivir,anti-infective,antiviral
sodium ferric gluconate complex,,not_reviewed
regadenoson,,
phenylephrine ophthalmic,,other
droperidol,,not_reviewed
chromic chloride hexahydrate,,not_reviewed
omadacycline,anti-infective,tetracyclines
DACTINomycin,,antineoplastics
tetracaine,,not_reviewed
siltuximab,,not_reviewed
nivolumab,,antineoplastics
carvedilol,bp_lowering,other
obinutuzumab,,antineoplastics
midodrine,,other
miSOPROStol,,not_reviewed
chloroprocaine,,not_reviewed
daratumumab,,antineoplastics
insulin isophane-insulin regular,,not_reviewed
pembrolizumab,,antineoplastics
atropine-diphenoxylate,,not_reviewed
docusate,,not_reviewed
ocular lubricant,,other
brentuximab vedotin,,antineoplastics
cangrelor,,
casirivimab-imdevimab,,
cefiderocol,,
glucarpidase,,
D12.5W 0.2%NS,,
Lorazepam IV Therapy,,
amobarbital,,not_reviewed
D20W,,
D12.5W 0.45%NS,,
D25W 250mL,,
"diphtheria/pertussis, acel/tetanus adult (Tdap)",,not_reviewed
carfilzomib,,antineoplastics
betamethasone,,not_reviewed
von Willebrand factor,,
D20W 0.2%NS,,
immune globulin intravenous and subcutaneous,,
D10W 0.45%NS,,
patisiran,,
D15%W 250 ml,,
D12.5%W,,
Description Missing,,
tamsulosin,,other
