o2_device,count,mapping
Other: on respiratory treatment,2,
Other: nrb,2,
"Room air, Other: bipap rate 14, 14/5 50% fio2",2,
"Room air, Other: bipap/o2",2,
"Room air, Other: AVAPS",2,
Other: Portable home ventilator,2,
"Room air, Other: OPTIFLOW",2,
"Nasal cannula, Other: humidified",2,
"High-flow mask, CPAP/BiPAP Device, Room air",2,
Other: ET tube/vent,2,
Other: Vented Trach,2,
"Room air, CPAP/BiPAP Device",2,
"Room air, Other: per home vent",2,
Other: bag ventilation via Igel,2,
"Trach collar with heater, High-flow mask",2,
Other: OETT,2,
Other: ETT tube,2,
"Trach interface, O2 standby, equipment at bedside",2,
Other: intubated 50% Fio2,2,
Other: et tube/vent,2,
"Trach interface, T-Piece",2,
"Trach collar with heater, Venturi mask",2,
Other: trache on vent,2,
"High-flow nasal cannula, CPAP/BiPAP Device, Other: AIRVO",2,
Other: Intubated and ambu bag,2,
Other: intubated. see RT notes in chart,2,
Other: bipap per RT,2,
"Room air, Other: intubated ;vent",2,
Other: tach/ventilator,2,
Other: ventilator. rate 22. tidal volume 340. 6 peep. 100%FiO2,2,
Other: BVM PPV,2,
Other: vent fio2 80%,2,
Other: ET tube-ventilator,2,
"Room air, Other: ventilator 50%",2,
"Room air, Other: vapotherm",2,
Other: ETT to vent,2,
Other: INtubated,2,
Other: ETT/ Vent,2,
Other: 8.0 ET tube,2,
"Room air, Other: BI-PAP",2,
"Room air, Other: mechanical ventilator",2,
Other: ET vent,2,
Other: Airvo @ 30%,2,
Other: Mechanicle Ventilation,2,
"Room air, Other: bag valvle",2,
"Other: ventilator Peak 17,vte 444 exp min vol 9.0 vt 460",2,
"Room air, Other: AirVu",2,
Other: ETT/VENT,2,
"Room air, Other: vented pt",2,
"Other: pt on ventilator, intubated",2,
Other: bipap 100%,2,
"Trach collar, Other:",2,
"Other: VENT: 35 PPEAK, EXPMINVOL 2.51, VTE 43, VL 350 CMH20 8",2,
"Room air, Other: Airvo",2,
Other: vent],2,
"Aerosol mask, Room air, Other: neb tx",2,
"Room air, Other: bipap-cpap",2,
"Room air, Other: neb treatment",2,
"Room air, Other: AirVuo",2,
"Room air, Other: intubation bag mask",2,
Other: ON VENTILATOR,2,
"CPAP/BiPAP Device, Other: 30% oxygen",2,
"Trach collar, Oxymizer",2,
Other: vent-see vent settings.,2,
"Room air, Other: High flow",2,
"Trach collar with heater, Oxymizer",2,
Other: vented and trached,2,
"Nasal cannula, Venturi mask, Room air",2,
"Room air, Other: ET tube 27 at the lip",2,
"Room air, Other: intubated,vent",2,
"Nasal cannula, High-flow nasal cannula, CPAP/BiPAP Device",2,
"O2 standby, equipment at bedside, Other: Airvo @ 30%",2,
"Trach collar, Home CPAP/BiPAP Device, Room air",2,
Other: pt ventilated,2,
Other: ventil;ator,2,
Other: vent to trach,2,
"Room air, Other: Vent via trach",2,
"Trach collar, Room air, Other: on vent",2,
"Room air, Other: BIAPAP",2,
Other: bpap,2,
Other: trached and vented,2,
"Trach collar, Other: Airvo",2,
"Room air, Other: pt on her home ventilator.",2,
Other: PT ON VENT AT THIS TIME,2,
Other: BIpap,2,
"Other: ventilator : Rate 30, TV 500, Peep 6, 50%",2,
"Room air, Other: heliox-8L",2,
Other: home Bi-pap,2,
"Room air, Other: airvo w/trach interface",2,
Other: Bi Pap,2,
"Room air, Other: airvo w/ trach interface",2,
"CPAP/BiPAP Device, Bag mask, Room air",2,
Other: ET intubation,2,
"Room air, Other: high flow trach",2,
Other: AMBU,2,
Other: ET tube vented pt,2,
Other: Ett,2,
"Room air, Other: mechanical vent",2,
Other: Currently receiving neb treatment,2,
Other: Ambu-bag,2,
"High-flow nasal cannula, Other: AIRVO",2,
Other: patient is intubate,2,
"Room air, Other: Portable vent",2,
"Room air, Other: vent see prior settings, no changes made",2,
Other: intubated bag valve,2,
"Trach collar, Face shield",2,
Other: intubate,2,
"T-Piece, Other: albuterol treatment",2,
"Room air, Other: BiPAP Device",2,
Other: ETT/BVM,2,
"Room air, Other: breathing tx",2,
"Home CPAP/BiPAP Device, Other: C-Pap",2,
Other: 8intubated,2,
Other: post-intubation,2,
"Room air, Other: facemask",2,
"Room air, Other: ET tube on vent",2,
Other: bag mask via intubation,2,
Other: bvm,2,
Other: personal 02 cannula,2,
"Trach collar, Cool mist aerosol, Room air",2,
"Room air, Other: hospital bipap @ 50%",2,
Other: On vent.,2,
Other: intubated on ventilator,2,
"Trach collar, Other: bagging",2,
"Room air, Other: INTUBATED AND SEDATED",2,
"Other: ETT, BVM",2,
Other: Pt is on the ventilator,2,
"Venturi mask, CPAP/BiPAP Device",2,
"Room air, Other: BiPAP set up by RT",2,
Other: bag valve,2,
"Partial-rebreather mask, Other: bypap",2,
"Nasal cannula, Home CPAP/BiPAP Device, O2 standby, equipment at bedside, Room air",2,
"Room air, Other: optiflow mask",2,
"High-flow nasal cannula, Bag mask, Room air",2,
Other: Bag valve mask,2,
"Room air, Other: on cpap",2,
"Room air, Other: E T Tube",2,
"Trach collar with heater, CPAP/BiPAP Device",2,
"Other: ventilator,",2,
Other: Vent intact,2,
Other: BVM with King tube,2,
Other: RT placing pt on bipap,2,
Other: pt place on bipap,2,
"Room air, Other: patient is on the ventilator 100% O2",2,
"High-flow mask, Other: Ventilator",2,
"Room air, Other: vapotherm + NRB",2,
Other: albuterol tx,2,
Other: AMBU BAG,2,
Other: BoPap,2,
"Trach collar, Other: Pt on ventilator",2,
"Room air, Other: bagging",2,
Other: Intubated; on vent,2,
Other: ventialtor,2,
"Nasal cannula, Trach collar, Trach collar with heater",2,
Other: BBM,2,
Other: on Vent,2,
Other: pt on by pap.,2,
"High-flow nasal cannula, Other: ET tube",2,
Other: bag valve mask -manual,2,
"Room air, Other: Vapotherm",2,
"Aerosol mask, High-flow mask",2,
