"quan_deyo","ICD10"
"Rheumatic","M0561"
"Rheumatic","M05611"
"Rheumatic","M05612"
"Rheumatic","M05619"
"Rheumatic","M0562"
"Rheumatic","M05621"
"Rheumatic","M05622"
"Rheumatic","M05629"
"Rheumatic","M0563"
"Rheumatic","M05631"
"Rheumatic","M05632"
"Rheumatic","M05639"
"Rheumatic","M0564"
"Rheumatic","M05641"
"Rheumatic","M05642"
"Rheumatic","M05649"
"Rheumatic","M0565"
"Rheumatic","M05651"
"Rheumatic","M05652"
"Rheumatic","M05659"
"Rheumatic","M0566"
"Rheumatic","M05661"
"Rheumatic","M05662"
"Rheumatic","M05669"
"Rheumatic","M0567"
"Rheumatic","M05671"
"Rheumatic","M05672"
"Rheumatic","M05679"
"Rheumatic","M0569"
"Rheumatic","M057"
"Rheumatic","M0570"
"Rheumatic","M0571"
"Rheumatic","M05711"
"Rheumatic","M05712"
"Rheumatic","M05719"
"Rheumatic","M0572"
"Rheumatic","M05721"
"Rheumatic","M05722"
"Rheumatic","M05729"
"Rheumatic","M0573"
"Rheumatic","M05731"
"Rheumatic","M05732"
"Rheumatic","M05739"
