formulary_name,med_name_generic,med_name
ANES Furosemide 10 mg/1 mL inj,fUROSEMide,furosemide
"ANES epoprostenol 20,000ng/mL inhale",epoprostenol inhale,epoprostenol
insulin regular OR SYR 1unit(s)/mL 10mL,insulin reg human,insulin regular
Nitroprusside 50 mg/ 2 mL inj,nitroprusside,sodium nitroprusside
Chlorothiazide 500 mg inj,chlorothiazide,chlorothiazide
D5W 50 mL IV bag,d5w,Dextrose 5% in Water intravenous solution
Basiliximab 20mg inj,basiliximab,basiliximab
Not Recorded,Not Recorded,propofol
Not Recorded,Not Recorded,fentaNYL
Cefazolin 2 gm/NS IVPB,cefazolin in ns,ceFAZolin
Fentanyl 250 mcg/5 mL inj,fentanyl,fentaNYL
CefTAZIDime 1gm IVPB,cefTAZIDime in ns,cefTAZidime
Nafcillin 10 gm inj,nafcillin,nafcillin
Cefoxitin 1gm in Iso Dex,cefoxitin in iso dex,cefOXitin
phytonadione  (Vit K) 10 mg/mL inj,phytonadione,phytonadione
Calcium Chloride  1gm/10 mL syringe,calcium chloride,calcium chloride
Flumazenil 0.5 mg/5 mL inj,flumazenil,flumazenil
Anti-Thymocyte Globulin (Rabbit) 25 mg/5 mL,anti-thymocyt globulin(rabbit),anti-thymocyte globulin (rabbit)
Desmopressin 4 mcg/mL inj,desmopressin,desmopressin
Not Recorded,Not Recorded,midazolam
Not Recorded,Not Recorded,nafcillin
Methylene Blue 100 mg / 10mL inj,methylene blue,methylene blue
Mag Sulfate 50%  5 gm/10mL inj ***,magnesium sulfate 50%,magnesium sulfate
Not Recorded,Not Recorded,heparin
Not Recorded,Not Recorded,sodium chloride
DOXOrubicin 2 mg/mL PF soln. 25mL,DOXOrubicin,DOXOrubicin
riTUXimab 100 mg inj,riTUXimab,riTUXimab
nf bulk,nf bulk,Misc Medication TNF
Epoprostenol  Diluent 50mL vial,epoprostenol/Flolan diluent,sterile water
PRMX DOPamine 400 mg Drip std*,DOPamine/d5w,DOPamine
Ampicillin/Sulbactam 1.5gm IVPB,ampicil/sulbact in ns,ampicillin-sulbactam
ANES Etomidate 2 mg/mL 20 mL inj,etomidate,etomidate
Hydromorphone PCA/NCA 1mg/1 mL High Dose Syr.,hydromorphone PCA in NS syringe,HYDROmorphone
Levocarnitine 1000mg/5mL inj.,levocarnitine,levOCARNitine
REMIfentanil 1 mg inj,REMIfentanil,remifentanil
Not Recorded,Not Recorded,nitroglycerin
PRMX Nitroglycerin 50 mg Drip std*,nitroglycerin/d5w,nitroglycerin
Nalbuphine 10 mg/1 mL inj,nalbuphine,nalbuphine
rasburicase 1.5 mg inj,rasburicase,rasburicase
CycloPHOSphamide 1gm/50 mL inj,cycloPHOSphamide,cyclophosphamide
ANES SUfentanil 50 mcg/mL inj,SUfentanil,SUFentanil
ANES HydrALAZINE 4 mg/mL inj,hydrALAZINE,hydrALAZINE
Ampicillin/Sulbactam 3gm  IVPB,Ampicil/sulbact in ns,ampicillin-sulbactam
Ampicillin 2gm IVPB,ampicillin in ns,ampicillin
Fluconazole 200mg/100mL NS premix,fluconazole in ns,fluconazole
Meropenem 500 mg inj,meropenem,meropenem
Dexamethasone 20 mg/5 mL inj,dexamethasone,dexamethasone
EPInephrine 1 mg/10 mL inj,EPInephrine,epinephrine
Labetalol 20 mg/4 mL inj,labetalol,labetalol
Zidovudine 200mg inj,zidovudine,zidovudine
Belatacept 250mg inj,belatacept,Belatacept
cefTAZIDime 1gm inj,cefTAZIDime,cefTAZidime
Gentamicin 60 mg/50 mL NS premix,gentamicin in ns,gentamicin
Micafungin 100 mg inj,micafungin,micafungin
Sulfamethoxazole-Trimethoprim 80mg-16 mg/mL inj,sulfamethoxazole-trimethoprim,sulfamethoxazole-trimethoprim
Not Recorded,Not Recorded,sodium bicarbonate
Iron Sucrose 100 mg/5mL inj,iron sucrose,iron sucrose
Not Recorded,Not Recorded,succinylcholine
HYDROmorphone 4 mg/mL inj,HYDROmorphone,HYDROmorphone
CycloSPORINE 250 mg/5 mL inj,cycloSPORINE,cycloSPORINE
Cosyntropin 0.25 mg inj,cosyntropin,cosyntropin
Prochlorperazine 10mg/2mL inj for IV use,prochlorperazine,prochlorperazine
Lorazepam 2 mg/mL 10 mL inj,lorazepam,LORazepam
Linezolid 600 mg/300 mL premix,linezolid premix,linezolid
Rocuronium 10 mg/mL 5 mL inj,rocuronium,rocuronium
Not Recorded,Not Recorded,Dextrose 5% in Water intravenous solution
Hydromorphone PCA 0.2mg/ml Syr.,hydromorphone PCA 0.2mg Syr.,HYDROmorphone
Not Recorded,Not Recorded,phenylephrine
Nitroglycerin 50 mg/ 10 mL inj,nitroglycerin,nitroglycerin
Not Recorded,Not Recorded,acetaminophen
Nitroglycerin 100mcg/mL for Cath Lab,nitroglycerin,nitroglycerin
Not Recorded,Not Recorded,amiodarone
Etoposide 100 mg / 5 mL,etoposide,etoposide
D5W 500 mL IV bag for chemo,d5w,Dextrose 5% in Water intravenous solution
"HePARIN 5,000 unit inj",hePARIN,heparin
dexamethasone 10 mg/mL 1 mL PF injection,dexamethasone,dexamethasone
NS 500mL (Polyolefin) for chemo,nacl 0.9% (polyolefin),Sodium Chloride 0.9% intravenous solution
Aztreonam 1gm/50mL NS IVPB,aztreonam in ns,aztreonam
Calcium Chloride  1gm/10 mL inj vial,calcium chloride,calcium chloride
Not Recorded,Not Recorded,metroNIDAZOLE
Not Recorded,Not Recorded,micafungin
cefEPIME 2gm inj,cefEPIME,cefepime
NS+40 mEq KCl 1000 mL,ns + kcl,potassium chloride-sodium chloride
ANES HydrALAZINE 5 mg/mL inj,hydrALAZINE,hydrALAZINE
Valproate Sodium 500 mg/ 5 mL inj,valproate,valproic acid
RifaMPIN 600 mg inj,rifaMPIN,rifAMPin
Morphine 8 mg/1 mL inj,morphine sulfate,morphine
Tobramycin 80 mg/2 mL inj,tobramycin,tobramycin
aztreonam 2 gm inj,aztreonam,aztreonam
Doripenem 500 mg inj,doripenem,doripenem
ANES Cefoxitin 2 gm/100 mL NS,cefoxitin,cefOXitin
Darbepoetin Alfa 40 mcg/0.4 mL syr.,darbepoetin alfa,darbepoetin alfa
LevoFLOXACIN 250 mg/50 mL D5W,LevoFLOXACIN in d5w,levoFLOXacin
Colistimethate 150 mg inj,colistimethate,colistimethate
Aztreonam 2gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,aztreonam
D5W 500 mL (Polyolefin) for chemo,d5w (polyolefin) for chemo,Dextrose 5% in Water intravenous solution
NS 100 mL IV bag for chemo,nacl 0.9%,Sodium Chloride 0.9% intravenous solution
Ampicillin 10 gm inj,ampicillin,ampicillin
Vancomycin 750 mg inj.,vancomycin,vancomycin
