Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,Unnamed: 8,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,is_fluids
1028,"Lidocaine 1% w/Epi 1:100,000 inj 20 mL",lidocaine 1% w/ epi,Not Recorded,20.0 mL,20,mL,20.0,,none,,,none,False,False,False
1029,"Lidocaine 1% w/Epi 1:200,000 inj 30mL PF inj",lidocaine 1% w/epi,Not Recorded,30.0 mL,3,mL,30.0,,none,,,none,False,False,False
1030,Lidocaine 1% w/Epi for local anesthesia,lidocaine 1% w/epi,Not Recorded,none,1,,,,none,,,none,True,False,False
1031,Lidocaine 1.5% 20mL inj,lidocaine 1.5%,Not Recorded,20.0 mL,6,mL,20.0,,none,,,none,False,False,False
1032,Lidocaine 1.5% w/epi 30 mL,lidocaine 1.5%/epi,Not Recorded,30.0 mL,35,mL,30.0,,none,,,none,True,False,False
1033,Lidocaine 100mg/5mL syringe (cardiac),lidocaine,Not Recorded,5.0 mL,2179,mL,5.0,,100.0 mg,mg,100.0,100.0 mg/5.0 ML,False,False,False
1034,Lidocaine 2% 10 mL inj,lidocaine 2%,Not Recorded,10.0 mL,212317,mL,10.0,,none,,,none,False,False,False
1035,Lidocaine 2% Epi 1.8mL Cart,lidocaine 2% w/-epi,Not Recorded,1.8 mL,6,mL,1.8,,none,,,none,True,False,False
1036,Lidocaine 2% Jelly  30 mL,lidocaine 2%,Not Recorded,30.0 mL,30,mL,30.0,,none,,,none,True,False,False
1037,Lidocaine 2% Nebulized soln,lidocaine 2%,Not Recorded,none,1,,,,none,,,none,True,False,False
1038,Lidocaine 2% PF 10 mL inj,lidocaine 2%,Not Recorded,10.0 mL,1,mL,10.0,,none,,,none,False,False,False
1039,Lidocaine 2% PF 2 mL inj,lidocaine 2%,Not Recorded,2.0 mL,4,mL,2.0,,none,,,none,False,False,False
1040,Lidocaine 2% PF 5 mL inj,lidocaine 2%,Not Recorded,5.0 mL,589,mL,5.0,,none,,,none,False,False,False
1041,Lidocaine 2% Visc 100 mL btl,lidocaine 2%,Not Recorded,100.0 mL,7,mL,100.0,,none,,,none,True,False,False
1042,Lidocaine 2% inj 20mL,lidocaine 2%,Not Recorded,20.0 mL,160,mL,20.0,,none,,,none,False,False,False
1043,Lidocaine 2% inj. 50mL inj,lidocaine,Not Recorded,50.0 mL,19,mL,50.0,,none,,,none,False,False,False
1044,Lidocaine 2% topical Gel 5 mL,lidocaine 2%,Not Recorded,5.0 mL,4,mL,5.0,,none,,,none,False,False,False
1045,Lidocaine 2% topical soln,lidocaine 2%,Not Recorded,none,4,,,,none,,,none,True,False,False
1046,Lidocaine 2% viscous liq 20 mL,lidocaine viscous 2%,Not Recorded,20.0 mL,15,mL,20.0,,none,,,none,True,False,False
1047,"Lidocaine 2% w/Epi 1:100,000 20mL inj",lidocaine 2% w/epi,Not Recorded,20.0 mL,7,mL,20.0,,none,,,none,False,False,False
1048,Lidocaine 20mg/mL OR syringe,lidocaine 2%,Not Recorded,none,5,,,,20.0 mg,mg,20.0,none,False,False,False
1049,Lidocaine 4% 5 mL inj,lidocaine 4%,Not Recorded,5.0 mL,96,mL,5.0,,none,,,none,False,False,False
1050,Lidocaine 4% Nebulized soln,lidocaine 4%,Not Recorded,none,16,,,,none,,,none,True,False,False
1051,Lidocaine 4% cream,lidocaine 4% cream,Not Recorded,none,1,,,,none,,,none,True,False,False
1052,Lidocaine 4% topical sol 50 mL,lidocaine 4%,Not Recorded,50.0 mL,14,mL,50.0,,none,,,none,True,False,False
1053,Lidocaine 5% oint 35 gm,lidocaine 5%,Not Recorded,none,1,,,,35.0 gm,gm,35.0,none,True,False,False
1054,Lidocaine 5%-Gluc 7.5% 2 mL inj,lidocaine 5% glucose 7.5%,Not Recorded,2.0 mL,2,mL,2.0,,none,,,none,False,False,False
1055,Lidocaine 8mg/ml Drip NEONATE,lidocaine in syringe,Not Recorded,none,16,,,,8.0 mg,mg,8.0,none,True,False,False
1056,Lidocaine Gel 2% 20mL (Uro-Jet Gel),lidocaine gel 2%,Not Recorded,20.0 mL,1,mL,20.0,,none,,,none,False,False,False
1057,Lidocaine Viscous 2%  UD,lidocaine viscous 2%,Not Recorded,none,101,,,,none,,,none,True,False,False
1058,Lidocaine topical 4% kit,lidocaine topical 4%,Not Recorded,none,46,,,,none,,,none,True,False,False
1059,Lidocaine w/ Epi 1.5% 10 mL inj,lidocaiine1.5%w/epi,Not Recorded,10.0 mL,3,mL,10.0,,none,,,none,False,False,False
1060,"Lidocaine w/Epi 2% 1:200,000 20 mL inj",lidocaine 2% w/ epi,Not Recorded,20.0 mL,4,mL,20.0,,none,,,none,False,False,False
1061,Linezolid 200 mg/100 mL premix,linezolid premix,Not Recorded,100.0 mL,18,mL,100.0,,200.0 mg,mg,200.0,200.0 mg/100.0 ML,True,False,False
1062,Linezolid 600 mg tab,linezolid,Not Recorded,none,2,,,,600.0 mg,mg,600.0,none,False,False,False
1063,Linezolid 600 mg/300 mL premix,linezolid premix,Not Recorded,300.0 mL,13164,mL,300.0,,600.0 mg,mg,600.0,600.0 mg/300.0 ML,True,False,False
1064,Linezolid 600 mg/300 mL premix.,linezolid premix,Not Recorded,300.0 mL,825,mL,300.0,,600.0 mg,mg,600.0,600.0 mg/300.0 ML,True,False,False
1065,Loratadine 10 mg tab,loratadine,Not Recorded,none,1,,,,10.0 mg,mg,10.0,none,False,False,False
1066,Lorazepam 0.5 mg tab,lorazepam,Not Recorded,none,2,,,,0.5 mg,mg,0.5,none,False,False,False
1067,Lorazepam 1 mg tab,lorazepam,Not Recorded,none,33,,,,1.0 mg,mg,1.0,none,False,False,False
1068,Lorazepam 2 mg/1 mL inj,lorazepam,Not Recorded,1.0 mL,241692,mL,1.0,,2.0 mg,mg,2.0,2.0 mg/1.0 ML,False,False,False
1069,Lorazepam 2 mg/mL 10 mL Extemp,lorazepam,Not Recorded,10.0 mL,1673,mL,10.0,,2.0 mg,mg,2.0,none,True,False,False
1070,Lorazepam 2 mg/mL 10 mL inj,lorazepam,Milligram/Hour,10.0 mL,64203,mL,10.0,,2.0 mg,mg,2.0,none,False,False,False
1071,Lorazepam 2 mg/mL conc. liq. (Palliative Care)BULK,lorazepam,Not Recorded,none,9,,,,2.0 mg,mg,2.0,none,True,False,False
1072,Lorazepam 4 mg/mL 10 mL inj,LORazepam,Not Recorded,10.0 mL,1,mL,10.0,,4.0 mg,mg,4.0,none,False,False,False
1073,Lorazepam IV Therapy,Lorazepam IV Therapy,Not Recorded,none,2,,,,none,,,none,True,False,False
1074,MORPHINE PF 0.5mg/ml in NS 2ml inj syr,morphine,Not Recorded,2.0 mL,6,mL,2.0,,0.5 mg,mg,0.5,none,False,False,False
1075,MVI Pediatric 10mL inj,multivit ped inj,Not Recorded,10.0 mL,92,mL,10.0,,none,,,none,False,False,False
1076,MVI-12   2X5 mL inj,multiple vitamins,Not Recorded,5.0 mL,56027,mL,5.0,,none,,,none,False,False,False
1077,MVI-12 (2X5mL) inj,multiple vitamins,Not Recorded,5.0 mL,62323,mL,5.0,,none,,,none,False,False,False
1078,Mag Sulf 1gm/100 mL D5W premix,magnesium sulfate in d5w,Not Recorded,100.0 mL,329,mL,100.0,,1.0 gm,gm,1.0,none,True,False,False
1079,Mag Sulf 6gm/NS 100mL ivpb,magnesium sulfate in ns,Not Recorded,100.0 mL,38,mL,100.0,,6.0 gm,gm,6.0,none,True,False,False
1080,Mag Sulfate 20gm/ 500ml Water inj,magnesium sulfate/water,Not Recorded,500.0 mL,111679,mL,500.0,,20.0 gm,gm,20.0,none,False,False,False
1081,Mag Sulfate 20mg/mL/NS neonate syringe,magnesium sulf. in NS syringe,Not Recorded,none,502,,,,20.0 mg,mg,20.0,none,False,False,False
1082,Mag Sulfate 40gm/ 1000ml Water inj,magnesium sulfate/water,Not Recorded,1000.0 mL,5743,mL,1000.0,,40.0 gm,gm,40.0,none,False,False,False
1083,Mag Sulfate 50%  5 gm/10mL inj ***,magnesium sulfate 50%,Not Recorded,10.0 mL,57261,mL,10.0,,5.0 gm,gm,5.0,none,False,False,False
1084,Mag Sulfate 50%(4 mEq/mL)2 mL inj,magnesium sulfate 50%,Not Recorded,2.0 mL,6673,mL,2.0,,4.0 mEq,mEq,4.0,none,False,False,False
1085,Magnesium Citrate oral soln Bulk,magnesium citrate,Not Recorded,none,1,,,,none,,,none,False,False,False
1086,Magnesium Sulf 2gm/50mL IVPB,magnesium sulfate,Not Recorded,50.0 mL,608868,mL,50.0,,2.0 gm,gm,2.0,none,True,False,False
1087,Magnesium Sulf 4gm/100mL IVPB,magnesium sulfate,Not Recorded,100.0 mL,119486,mL,100.0,,4.0 gm,gm,4.0,none,True,False,False
1088,Magnesium Sulf 5 gm/10mL OR syringe,magnesium sulfate,Not Recorded,10.0 mL,139,mL,10.0,,5.0 gm,gm,5.0,none,False,False,False
1089,Magnesium Sulf 5 gm/10mL inj ..,magnesium sulfate,Not Recorded,10.0 mL,4033,mL,10.0,,5.0 gm,gm,5.0,none,False,False,False
1090,Mannitol 20% 250 mL IV bag,mannitol 20%,Hour,250.0 mL,6165,mL,250.0,,none,,,none,True,False,False
1091,Mannitol 20% 500mL bag,mannitol 20%,Hour,500.0 mL,712,mL,500.0,,none,,,none,True,False,False
1092,Mannitol 25% 12.5gm/50 mL inj,mannitol 25%,Not Recorded,50.0 mL,648,mL,50.0,,12.5 gm,gm,12.5,none,False,False,False
1093,Melphalan 50 mg inj,melphalan,Not Recorded,none,2606,,,,50.0 mg,mg,50.0,none,False,False,False
1094,Meperidine 100 mg/1 mL inj.,meperidine,Not Recorded,1.0 mL,1922,mL,1.0,,100.0 mg,mg,100.0,100.0 mg/1.0 ML,False,False,False
1095,Meperidine 25 mg/1 mL inj,meperidine,Not Recorded,1.0 mL,3291,mL,1.0,,25.0 mg,mg,25.0,25.0 mg/1.0 ML,False,False,False
1096,Meperidine 25mg/0.5mL inj,meperidine,Not Recorded,0.5 mL,301,mL,0.5,,25.0 mg,mg,25.0,25.0 mg/0.5 ML,False,False,False
1097,Meperidine 50 mg/1 mL inj,meperidine,Not Recorded,1.0 mL,2032,mL,1.0,,50.0 mg,mg,50.0,50.0 mg/1.0 ML,False,False,False
1098,Mepivacaine 1% 30 mL inj,mepivacaine 1%,Not Recorded,30.0 mL,10,mL,30.0,,none,,,none,False,False,False
1099,Mepivacaine 2% 20 mL inj,mepivacaine 2%,Not Recorded,20.0 mL,11,mL,20.0,,none,,,none,False,False,False
1100,Meropenem 0.04mg/mL for Desensitization,meropenem/ns,Not Recorded,none,3,,,,0.04 mg,mg,0.04,none,True,False,False
1101,Meropenem 1000 mg inj,meropenem,Not Recorded,none,147597,,,,1000.0 mg,mg,1000.0,none,False,False,False
1102,Meropenem 1000mg/NS IVPB,meropenem in NS,Not Recorded,none,71792,,,,1000.0 mg,mg,1000.0,none,True,False,False
1103,Meropenem 10mg/mL for Desensitization,meropenem/ns,Not Recorded,none,4,,,,10.0 mg,mg,10.0,none,True,False,False
1104,Meropenem 1mg/mL for Desensitization,meropenem/ns,Not Recorded,none,1199,,,,1.0 mg,mg,1.0,none,True,False,False
1105,Meropenem 20mg/mL for Desensitization,meropenem/ns,Not Recorded,none,9,,,,20.0 mg,mg,20.0,none,True,False,False
1106,Meropenem 2gm Desensitization Rx Protocol- initiate,Meropenem 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,29,,,,2.0 gm,gm,2.0,none,True,False,False
1107,Meropenem 500 mg inj,meropenem,Not Recorded,none,17599,,,,500.0 mg,mg,500.0,none,False,False,False
1108,Meropenem 500 mg/100 mL NS IVPB,meropenem in NS,Not Recorded,100.0 mL,44413,mL,100.0,,500.0 mg,mg,500.0,500.0 mg/100.0 ML,True,False,False
1109,Meropenem 500mg/NS 50mL IVPB,meropenem in ns,Not Recorded,50.0 mL,48829,mL,50.0,,500.0 mg,mg,500.0,none,True,False,False
1110,Mesna 1000 mg/10 mL inj,mesna,Not Recorded,10.0 mL,15427,mL,10.0,,1000.0 mg,mg,1000.0,1000.0 mg/10.0 ML,False,False,False
1111,MethaDONE 1 mg/ 1 mL oral Liq,methaDONE,Not Recorded,1.0 mL,8,mL,1.0,,1.0 mg,mg,1.0,1.0 mg/1.0 ML,False,False,False
1112,MethaDONE 10 mg tab,methaDONE,Not Recorded,none,8,,,,10.0 mg,mg,10.0,none,False,False,False
1113,MethaDONE 10 mg/mL 20 mL inj,methaDONE,Not Recorded,20.0 mL,146,mL,20.0,,10.0 mg,mg,10.0,none,False,False,False
1114,MethaDONE 10 mg/ml 1mL IV syringe,methaDONE,Not Recorded,1.0 mL,12357,mL,1.0,,10.0 mg,mg,10.0,none,False,False,False
1115,MethaDONE 10 mg/ml neonate IV syringe,methaDONE,Not Recorded,none,21,,,,10.0 mg,mg,10.0,none,False,False,False
1116,MethaDONE 5 mg tab,methaDONE,Not Recorded,none,6,,,,5.0 mg,mg,5.0,none,False,False,False
1117,MethaDONE 5 mg/ 5 mL oral Liq,methaDONE,Not Recorded,5.0 mL,78,mL,5.0,,5.0 mg,mg,5.0,5.0 mg/5.0 ML,False,False,False
1118,Methocarbamol 1gm inj,methocarbamol,Not Recorded,none,33679,,,,1.0 gm,gm,1.0,none,False,False,False
1119,Methocarbamol 500 mg tab,methocarbamol,Not Recorded,none,8,,,,500.0 mg,mg,500.0,none,False,False,False
1120,Methocarbamol 750 mg tab,methocarbamol,Not Recorded,none,4,,,,750.0 mg,mg,750.0,none,False,False,False
1121,Methohexital 500 mg inj,methohexital,Not Recorded,none,4,,,,500.0 mg,mg,500.0,none,False,False,False
1122,Methotrexate 1gm inj,methotrexate,Not Recorded,none,1334,,,,1.0 gm,gm,1.0,none,False,False,False
1123,Methotrexate 50 mg/2 mL inj,methotrexate,Not Recorded,2.0 mL,5,mL,2.0,,50.0 mg,mg,50.0,50.0 mg/2.0 ML,False,False,False
1124,Methotrexate 50 mg/2 mL inj PF,methotrexate PF,Not Recorded,2.0 mL,3665,mL,2.0,,50.0 mg,mg,50.0,50.0 mg/2.0 ML,False,False,False
1125,Methotrexate Int Dose,methotrexate sodium,Not Recorded,none,4,,,,none,,,none,True,False,False
1126,MethylPREDNISolone  40 mg DEPO inj,methylPREDNISolone acetate (depo),Not Recorded,none,154,,,,40.0 mg,mg,40.0,none,False,False,False
1127,MethylPREDNISolone 1000mg inj,methylPREDNISolone,Not Recorded,none,21950,,,,1000.0 mg,mg,1000.0,none,False,False,False
1128,MethylPREDNISolone 125 mg/2 mL  inj,methylPREDNISolone,Not Recorded,2.0 mL,82174,mL,2.0,,125.0 mg,mg,125.0,125.0 mg/2.0 ML,False,False,False
1129,MethylPREDNISolone 2.5mg/mL/NS neonate syringe,methylPREDNISolone in NS syringe,Not Recorded,none,1,,,,2.5 mg,mg,2.5,none,False,False,False
1130,MethylPREDNISolone 2000mg inj,methylPREDNISolone,Not Recorded,none,5,,,,2000.0 mg,mg,2000.0,none,False,False,False
1131,MethylPREDNISolone 4 mg tab,methylPREDNISolone,Not Recorded,none,2,,,,4.0 mg,mg,4.0,none,False,False,False
1132,MethylPREDNISolone 40 mg inj,methylPREDNISolone,Not Recorded,none,161910,,,,40.0 mg,mg,40.0,none,False,False,False
1133,MethylPREDNISolone 40 mg/mL susp inj 5mL,methylPREDNISolone,Not Recorded,5.0 mL,1,mL,5.0,,40.0 mg,mg,40.0,none,False,False,False
1134,MethylPREDNISolone 500mg inj,methylPREDNISolone,Not Recorded,none,2788,,,,500.0 mg,mg,500.0,none,False,False,False
1135,Methylene Blue 1% 10mg/mL inj,methylene blue 1%,Not Recorded,none,443,,,,10.0 mg,mg,10.0,none,False,False,False
1136,Methylene Blue 100 mg / 10mL inj,methylene blue,Not Recorded,10.0 mL,531,mL,10.0,,100.0 mg,mg,100.0,100.0 mg/10.0 ML,False,False,False
1137,Methylene Blue 5mg/mL 10mL inj,methylene blue,Not Recorded,10.0 mL,929,mL,10.0,,5.0 mg,mg,5.0,none,False,False,False
1138,Methylergonovine 0.2 mg/1 mL inj,methylergonovine,Not Recorded,1.0 mL,81,mL,1.0,,0.2 mg,mg,0.2,0.2 mg/1.0 ML,False,False,False
1139,Methylnaltrexone 12mg inj.,methylnaltrexone,Not Recorded,none,6,,,,12.0 mg,mg,12.0,none,False,False,False
1140,Methylnaltrexone 8 mg inj,methylnaltrexone,Not Recorded,none,1,,,,8.0 mg,mg,8.0,none,False,False,False
1141,MetoCLOPRAMIDE 1 mg/1 mL Ped oral syringe,metoCLOPRAMIDE ped liq,Not Recorded,1.0 mL,2,mL,1.0,,1.0 mg,mg,1.0,1.0 mg/1.0 ML,False,False,False
1142,MetoCLOPRAMIDE 10 mg tab,metoCLOPRAMIDE,Not Recorded,none,10,,,,10.0 mg,mg,10.0,none,False,False,False
1143,MetoCLOPRAMIDE 10 mg/10 mL liq,metoCLOPRAMIDE,Not Recorded,10.0 mL,1,mL,10.0,,10.0 mg,mg,10.0,10.0 mg/10.0 ML,True,False,False
1144,MetoCLOPRAMIDE 10 mg/2 mL inj,metoCLOPRAMIDE,Not Recorded,2.0 mL,263442,mL,2.0,,10.0 mg,mg,10.0,10.0 mg/2.0 ML,False,False,False
1145,MetoCLOPRAMIDE 5 mg tab,metoCLOPRAMIDE,Not Recorded,none,1,,,,5.0 mg,mg,5.0,none,False,False,False
1146,MetoCLOPRAMIDE 5 mg/mL 10 mL inj,metoCLOPRAMIDE,Not Recorded,10.0 mL,21,mL,10.0,,5.0 mg,mg,5.0,none,False,False,False
1147,MetoPROLOL 5 mg/5 mL inj,metoPROLOL,Not Recorded,5.0 mL,162845,mL,5.0,,5.0 mg,mg,5.0,5.0 mg/5.0 ML,False,False,False
1148,MetoPROLOL Succinate XL 50 mg tab,metoPROLOL Succinate  XL,Not Recorded,none,1,,,,50.0 mg,mg,50.0,none,False,False,False
1149,MetoPROLOL Succinate XL 50 mg tab,metoPROLOL XL,Not Recorded,none,3,,,,50.0 mg,mg,50.0,none,False,False,False
1150,MetoPROLOL Tartrate 50 mg tab,metoPROLOL,Not Recorded,none,2,,,,50.0 mg,mg,50.0,none,False,False,False
1151,MetoPROLOL tartrate 25 mg tab,metoPROLOL,Not Recorded,none,1,,,,25.0 mg,mg,25.0,none,False,False,False
1152,MetoPROLOL tartrate 25 mg tab,metoPROLOL Tartrate,Not Recorded,none,1,,,,25.0 mg,mg,25.0,none,False,False,False
1153,MetroNIDAZOLE tab(s) for wound care,metroNIDAZOLE,Not Recorded,none,1,,,,none,,,none,False,False,False
1154,Metronidazole 500 mg tab,metronidazole,Not Recorded,none,4,,,,500.0 mg,mg,500.0,none,False,False,False
1155,Metronidazole 500 mg/NS 100 mL,metronidazole / NS,Not Recorded,100.0 mL,334932,mL,100.0,,500.0 mg,mg,500.0,none,True,False,False
1156,Metronidazole 5mg/mL/NS neonate syringe,metronidazole in NS syringe,Not Recorded,none,102,,,,5.0 mg,mg,5.0,none,False,False,False
1157,Micafungin 100 mg inj,micafungin,Not Recorded,none,43380,,,,100.0 mg,mg,100.0,none,False,False,False
1158,Micafungin 50 mg inj,micafungin,Not Recorded,none,25813,,,,50.0 mg,mg,50.0,none,False,False,False
1159,Micafungin 5mg/mL 2mL lock soln.,micafungin lock soln.,Not Recorded,2.0 mL,9,mL,2.0,,5.0 mg,mg,5.0,none,True,False,False
1160,Midazolam 10 mg/5mL syrup,midazolam,Not Recorded,5.0 mL,1,mL,5.0,,10.0 mg,mg,10.0,10.0 mg/5.0 ML,False,False,False
1161,Midazolam 1mg/mL inj 5 mL,midazolam,Not Recorded,5.0 mL,5006,mL,5.0,,1.0 mg,mg,1.0,none,False,False,False
1162,Midazolam 2mg/2mL inj,midazolam,Not Recorded,2.0 mL,241946,mL,2.0,,2.0 mg,mg,2.0,2.0 mg/2.0 ML,False,False,False
1163,Midazolam 5 mg/mL inj 10 mL,midazolam,Not Recorded,10.0 mL,108520,mL,10.0,,5.0 mg,mg,5.0,none,False,False,False
1164,Milrinone 10 mg/10 mL inj,milrinone,Not Recorded,10.0 mL,8,mL,10.0,,10.0 mg,mg,10.0,10.0 mg/10.0 ML,False,False,False
1165,Milrinone 20 mg/20 mL inj,milrinone,Microgram/Kilogram/Minute,20.0 mL,27327,mL,20.0,,20.0 mg,mg,20.0,20.0 mg/20.0 ML,False,False,False
1166,Minocycline 100 mg inj,minocycline,Not Recorded,none,849,,,,100.0 mg,mg,100.0,none,False,False,False
1167,Misoprostol 100 mcg tab,misoprostol,Not Recorded,none,1,,,,100.0 mcg,mcg,100.0,none,False,False,False
1168,Misoprostol 200 mcg tab,misoprostol,Not Recorded,none,2,,,,200.0 mcg,mcg,200.0,none,False,False,False
1169,Misoprostol 25 mcg tab,misoprostol,Not Recorded,none,1,,,,25.0 mcg,mcg,25.0,none,False,False,False
1170,MitoMYCIN 20 mg inj,mitoMYCIN,Not Recorded,none,6,,,,20.0 mg,mg,20.0,none,False,False,False
1171,MitoXANTRONE 20mg/10 mL inj,mitoXANTRONE,Not Recorded,10.0 mL,168,mL,10.0,,20.0 mg,mg,20.0,20.0 mg/10.0 ML,False,False,False
1172,MitoXANTRONE 25mg/12.5mL inj,mitoXANTRONE,Not Recorded,12.5 mL,78,mL,12.5,,25.0 mg,mg,25.0,25.0 mg/12.5 ML,False,False,False
1173,Morphine 1 mg/mL neonate syringe,morphine in syringe,Not Recorded,none,15,,,,1.0 mg,mg,1.0,none,False,False,False
1174,Morphine 10 mg/ 1 mL PF inj,morphine,Not Recorded,1.0 mL,12901,mL,1.0,,10.0 mg,mg,10.0,10.0 mg/1.0 ML,False,False,False
1175,Morphine 10 mg/1 mL inj vial,morphine,Not Recorded,1.0 mL,10282,mL,1.0,,10.0 mg,mg,10.0,10.0 mg/1.0 ML,False,False,False
1176,Morphine 10 mg/5 mL liq,morphine,Not Recorded,5.0 mL,12,mL,5.0,,10.0 mg,mg,10.0,10.0 mg/5.0 ML,True,False,False
1177,Morphine 10 mg/mL inj 10 mL vial,morphine,Not Recorded,10.0 mL,1180,mL,10.0,,10.0 mg,mg,10.0,none,False,False,False
1178,Morphine 15 mg/ 1 ml inj,morphine,Milligram/Hour,1.0 mL,6615,mL,1.0,,15.0 mg,mg,15.0,15.0 mg/1.0 ML,False,False,False
1179,Morphine 15mg/mL 20 mL inj,morphine,Not Recorded,20.0 mL,4873,mL,20.0,,15.0 mg,mg,15.0,none,False,False,False
1180,Morphine 2 mg/ 1 mL inj,morphine,Not Recorded,1.0 mL,628429,mL,1.0,,2.0 mg,mg,2.0,2.0 mg/1.0 ML,False,False,False
1181,Morphine 2 mg/mL inj for Neonate study only,morphine,Not Recorded,none,32,,,,2.0 mg,mg,2.0,none,False,False,False
1182,Morphine 2mg/mL oral liq,morphine,Not Recorded,none,2,,,,2.0 mg,mg,2.0,none,False,False,False
1183,Morphine 4 mg/ 1 mL inj,morphine,Not Recorded,1.0 mL,276887,mL,1.0,,4.0 mg,mg,4.0,4.0 mg/1.0 ML,False,False,False
1184,Morphine 5 mg/1 mL inj,morphine,Not Recorded,1.0 mL,26111,mL,1.0,,5.0 mg,mg,5.0,5.0 mg/1.0 ML,False,False,False
1185,Morphine 8 mg/1 mL inj,morphine sulfate,Not Recorded,1.0 mL,8337,mL,1.0,,8.0 mg,mg,8.0,8.0 mg/1.0 ML,False,False,False
1186,Morphine PCA 1mg/ml 50 mLSyr.,morphine PCA 1mg/ml 50mL Syr.,Not Recorded,none,4293,,,,1.0 mg,mg,1.0,none,False,False,False
1187,Morphine PCA 50 mg/50 mL,morphine PCA,Not Recorded,50.0 mL,3316,mL,50.0,,50.0 mg,mg,50.0,50.0 mg/50.0 ML,True,False,False
1188,Morphine PCA/NCA 50 mg/50 mL,morphine PCA,Not Recorded,50.0 mL,24842,mL,50.0,,50.0 mg,mg,50.0,50.0 mg/50.0 ML,True,False,False
1189,Morphine PCA/NCA 50 mg/50 mL,morphine PCA/NCA,Not Recorded,50.0 mL,13966,mL,50.0,,50.0 mg,mg,50.0,50.0 mg/50.0 ML,True,False,False
1190,Morphine-PF 10 mg/10 mL inj,morphine pf,Not Recorded,10.0 mL,185,mL,10.0,,10.0 mg,mg,10.0,10.0 mg/10.0 ML,False,False,False
1191,Morphine-PF 200 mg/20 mL inj,morphine,Not Recorded,20.0 mL,1,mL,20.0,,200.0 mg,mg,200.0,200.0 mg/20.0 ML,False,False,False
1192,Morphine-PF 5 mg/10 mL inj,morphine,Not Recorded,10.0 mL,8,mL,10.0,,5.0 mg,mg,5.0,5.0 mg/10.0 ML,False,False,False
1193,Moxifloxacin 400 mg/250 mL NS IVPB,moxifloxacin in ns,Not Recorded,250.0 mL,1016,mL,250.0,,400.0 mg,mg,400.0,400.0 mg/250.0 ML,True,False,False
1194,Multivitamin Pediatric 5 mL inj,multiple vitamins,Not Recorded,5.0 mL,126,mL,5.0,,none,,,none,False,False,False
1195,Mycophenolate 250 mg cap,mycophenolate,Not Recorded,none,1,,,,250.0 mg,mg,250.0,none,False,False,False
1196,Mycophenolate 500 mg inj,mycophenolate,Not Recorded,none,28188,,,,500.0 mg,mg,500.0,none,False,False,False
1197,Mycophenolate 500 mg tab,mycophenolate,Not Recorded,none,6,,,,500.0 mg,mg,500.0,none,False,False,False
1198,Mycophenolate 500 mg/2.5mL oral susp (UD cup),mycophenolate,Not Recorded,2.5 mL,11,mL,2.5,,500.0 mg,mg,500.0,500.0 mg/2.5 ML,False,False,False
1199,NACL  0.45% 100 ml bag,nacl 0.45%,Not Recorded,100.0 mL,591,mL,100.0,,none,,,none,True,False,False
1200,NACL  0.45% 50 mL IV bag,nacl 0.45%,Not Recorded,50.0 mL,18,mL,50.0,,none,,,none,True,False,False
1201,NACL 0.45% +20 mEq KCl 1000 mL,nacl 0.45% + kcl,Not Recorded,1000.0 mL,38575,mL,1000.0,,20.0 mEq,mEq,20.0,none,True,False,False
1202,NACL 0.45% 1000 mL IV bag,nacl 0.45%,Not Recorded,1000.0 mL,706959,mL,1000.0,,none,,,none,True,False,False
1203,NACL 0.45% 250 mL IV bag,nacl 0.45%,Not Recorded,250.0 mL,1542,mL,250.0,,none,,,none,True,False,False
1204,NACL 0.45% 500 mL IV bag,nacl 0.45%,Not Recorded,500.0 mL,21316,mL,500.0,,none,,,none,True,False,False
1205,NACL 2.5 mEq/ mL 40mL inj,NACL 2.5 mEq/mL,Not Recorded,40.0 mL,220,mL,40.0,,2.5 mEq,mEq,2.5,none,False,False,False
1206,NACL 800mEq/200mL 23.4% inj,nacl 23.4%,Not Recorded,200.0 mL,1,mL,200.0,,800.0 mEq,mEq,800.0,800.0 mEq/200.0 ML,False,False,False
1207,NICU 10% Starter TPN,NICU 10% Starter TPN,Not Recorded,none,13,,,,none,,,none,True,False,False
1208,NICU Starter TPN,NICU Starter TPN,Not Recorded,none,78,,,,none,,,none,True,False,False
1209,NOREPInephrine 16mcg/mL OR syringe,NOREPInephrine,Not Recorded,none,45955,,,,16.0 mcg,mcg,16.0,none,False,False,False
1210,NOREPInephrine 4mcg/mL OR syringe (40mcg),NOREPInephrine,Not Recorded,none,18,,,,4.0 mcg,mcg,4.0,none,False,False,False
1211,NOREPInephrine 4mg/4mL inj,NOREPInephrine,Microgram/Kilogram/Minute,4.0 mL,882302,mL,4.0,,4.0 mg,mg,4.0,4.0 mg/4.0 ML,False,False,False
1212,NS 100 mL IV bag,nacl 0.9%,Not Recorded,100.0 mL,2011148,mL,100.0,,none,,,none,True,False,False
1213,NS 100 mL IV bag for chemo,nacl 0.9%,Not Recorded,100.0 mL,16226,mL,100.0,,none,,,none,True,False,False
1214,NS 1000 mL (Polyolefin) for chemo,ns (polyolefin),Not Recorded,1000.0 mL,5181,mL,1000.0,,none,,,none,True,False,False
