Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,Unnamed: 8,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,is_fluids
528,DOCEtaxel 20mg/1mL inj,DOCEtaxel,Not Recorded,1.0 mL,36,mL,1.0,,20.0 mg,mg,20.0,20.0 mg/1.0 ML,False,False,False
529,DOCEtaxel 80mg/4mL inj,DOCEtaxel,Not Recorded,4.0 mL,38,mL,4.0,,80.0 mg,mg,80.0,80.0 mg/4.0 ML,False,False,False
530,DOPamine 200 mg/5mL inj,DOPamine,Microgram/Kilogram/Minute,5.0 mL,996,mL,5.0,,200.0 mg,mg,200.0,200.0 mg/5.0 ML,False,False,False
531,DOPamine 400 mg/5 mL inj,DOPamine,Microgram/Kilogram/Minute,5.0 mL,1740,mL,5.0,,400.0 mg,mg,400.0,400.0 mg/5.0 ML,False,False,False
532,DOPamine 400mg/10mL inj,DOPamine,Microgram/Kilogram/Minute,10.0 mL,1526,mL,10.0,,400.0 mg,mg,400.0,400.0 mg/10.0 ML,False,False,False
533,DOXOrubicin  LYOPH 50mg for orderset only,DOXOrubicin LYOPH,Not Recorded,none,2,,,,50.0 mg,mg,50.0,none,True,False,False
534,DOXOrubicin  LYOPHILIZED 50mg inj,DOXOrubicin LYOPH,Not Recorded,none,22,,,,50.0 mg,mg,50.0,none,False,False,False
535,DOXOrubicin 2 mg/mL PF 25mL for orderset only,DOXOrubicin,Not Recorded,25.0 mL,112,mL,25.0,,2.0 mg,mg,2.0,none,True,False,False
536,DOXOrubicin 2 mg/mL PF soln. 25mL,DOXOrubicin,Not Recorded,25.0 mL,7396,mL,25.0,,2.0 mg,mg,2.0,none,True,False,False
537,DOXOrubicin PFS 10 mg/5 mL inj,DOXOrubicin,Not Recorded,5.0 mL,737,mL,5.0,,10.0 mg,mg,10.0,10.0 mg/5.0 ML,False,False,False
538,DOXOrubicin liposomal 2 mg/mL (Lipodox),DOXOrubicin liposomal,Not Recorded,none,11,,,,2.0 mg,mg,2.0,none,True,False,False
539,DOXOrubicin liposomal 20mg/ 10 mL inj,DOXOrubicin hcl liposome,Not Recorded,10.0 mL,78,mL,10.0,,20.0 mg,mg,20.0,20.0 mg/10.0 ML,False,False,False
540,Dacarbazine 200mg inj,dacarbazine,Not Recorded,none,90,,,,200.0 mg,mg,200.0,none,False,False,False
541,Dalbavancin 500 mg/25ml  inj,dalbavancin,Not Recorded,25.0 mL,162,mL,25.0,,500.0 mg,mg,500.0,500.0 mg/25.0 ML,False,False,False
542,Dalfopristin-Quinupristin 500 mg inj,dalfopristin-quinupristin,Not Recorded,none,20,,,,500.0 mg,mg,500.0,none,False,False,False
543,Dantrolene 100 mg cap,dantrolene,Not Recorded,none,1,,,,100.0 mg,mg,100.0,none,False,False,False
544,Dantrolene 20 mg inj,dantrolene,Not Recorded,none,40,,,,20.0 mg,mg,20.0,none,False,False,False
545,Dantrolene 250 mg inj,dantrolene,Not Recorded,none,44,,,,250.0 mg,mg,250.0,none,False,False,False
546,Daptomycin 500mg for IVPB,daptomycin,Not Recorded,none,15274,,,,500.0 mg,mg,500.0,none,True,False,False
547,Daptomycin 5mg/ml /LR 2mL lock soln.,daptomycin in LR lock soln.,Not Recorded,2.0 mL,7,mL,2.0,,5.0 mg,mg,5.0,none,True,False,False
548,Daratumumab 400mg/20mL inj.,daratumumab,Not Recorded,20.0 mL,4,mL,20.0,,400.0 mg,mg,400.0,400.0 mg/20.0 ML,False,False,False
549,Darbepoetin Alfa 25 mcg/0.42 mL syr.,darbepoetin alfa,Not Recorded,0.42 mL,47,mL,0.42,,25.0 mcg,mcg,25.0,25.0 mcg/0.42 ML,False,False,False
550,Darbepoetin Alfa 40 mcg/0.4 mL syr.,darbepoetin alfa,Not Recorded,0.4 mL,219,mL,0.4,,40.0 mcg,mcg,40.0,40.0 mcg/0.4 ML,False,False,False
551,Darbepoetin Alfa 40 mcg/0.4 mL syringe,darbepoetin alfa,Not Recorded,0.4 mL,2,mL,0.4,,40.0 mcg,mcg,40.0,40.0 mcg/0.4 ML,False,False,False
552,Darbepoetin alfa 100 mcg/0.5 mL syr. For Dialysis,darbepoetin alfa,Not Recorded,0.5 mL,106,mL,0.5,,100.0 mcg,mcg,100.0,100.0 mcg/0.5 ML,False,False,False
553,Darbepoetin alfa 100 mcg/0.5 mL syringe,darbepoetin alfa,Not Recorded,0.5 mL,145,mL,0.5,,100.0 mcg,mcg,100.0,100.0 mcg/0.5 ML,False,False,False
554,Darbepoetin alfa 100 mcg/0.5 mL syringe- APPRISE,darbepoetin alfa,Not Recorded,0.5 mL,3,mL,0.5,,100.0 mcg,mcg,100.0,100.0 mcg/0.5 ML,False,False,False
555,Darbepoetin alfa 150 mcg/0.3 mL syringe,darbepoetin alfa,Not Recorded,0.3 mL,11,mL,0.3,,150.0 mcg,mcg,150.0,150.0 mcg/0.3 ML,False,False,False
556,Darbepoetin alfa 200 mcg/0.4 mL syringe,darbepoetin alfa,Not Recorded,0.4 mL,13,mL,0.4,,200.0 mcg,mcg,200.0,200.0 mcg/0.4 ML,False,False,False
557,Darbepoetin alfa 60 mcg/0.3 mL syr.,darbepoetin alfa,Not Recorded,0.3 mL,1340,mL,0.3,,60.0 mcg,mcg,60.0,60.0 mcg/0.3 ML,False,False,False
558,Darbepoetin alfa 60 mcg/0.3 mL syringe,darbepoetin alfa,Not Recorded,0.3 mL,29,mL,0.3,,60.0 mcg,mcg,60.0,60.0 mcg/0.3 ML,False,False,False
559,Decitabine 50mg inj,decitabine,Not Recorded,none,2107,,,,50.0 mg,mg,50.0,none,False,False,False
560,Deferoxamine 500 mg inj,deferoxamine,Not Recorded,none,184,,,,500.0 mg,mg,500.0,none,False,False,False
